InvoiceLineID,CustomerCode,TransactionID,Description,Year,Month,Day,PackageTypeID,Quantity,Sales,TotalDryItems,TotalChillerItems
1,832,12126,Ride on toy sedan car (Black) 1/12 scale,2018,1,1,7,10,2300,1,0
2,803,15342,Developer joke mug - old C developers never die (White),2018,1,1,7,9,117,2,0
3,803,15342,USB food flash drive - chocolate bar,2018,1,1,7,9,288,2,0
4,105,12211,Superhero action jacket (Blue) XXL,2018,1,1,7,3,90,1,0
5,57,17129,Permanent marker black 5mm nib (Black) 5mm,2018,1,1,7,96,288,3,0
6,57,17129,Furry gorilla with big eyes slippers (Black) S,2018,1,1,7,5,160,3,0
7,57,17129,Developer joke mug - old C developers never die (White),2018,1,1,7,2,26,3,0
8,905,10369,Plush shark slippers (Gray) L,2018,1,1,7,4,128,3,0
9,905,10369,Dinosaur battery-powered slippers (Green) XL,2018,1,1,7,3,96,3,0
10,905,10369,Large sized bubblewrap roll 50m,2018,1,1,7,20,480,3,0
11,976,13383,Pack of 12 action figures (variety),2018,1,1,9,4,64,3,0
12,976,13383,"Developer joke mug - (hip, hip, array) (White)",2018,1,1,7,6,78,3,0
13,976,13383,Plush shark slippers (Gray) S,2018,1,1,7,9,288,3,0
14,575,17913,Developer joke mug - inheritance is the OO way to become wealthy (Black),2018,1,1,7,9,117,4,0
15,575,17913,Shipping carton (Brown) 305x305x305mm,2018,1,1,7,75,300,4,0
16,575,17913,USB food flash drive - banana,2018,1,1,7,6,192,4,0
17,575,17913,Furry gorilla with big eyes slippers (Black) L,2018,1,1,7,1,32,4,0
18,964,14518,USB food flash drive - banana,2018,1,1,7,4,128,3,0
19,964,14518,Developer joke mug - that's a hardware problem (White),2018,1,1,7,9,117,3,0
20,964,14518,Developer joke mug - old C developers never die (White),2018,1,1,7,1,13,3,0
21,77,17577,RC toy sedan car with remote control (Black) 1/50 scale,2018,1,1,7,2,50,2,0
22,77,17577,Animal with big feet slippers (Brown) S,2018,1,1,7,4,128,2,0
23,191,18030,Developer joke mug - inheritance is the OO way to become wealthy (White),2018,1,1,7,5,65,2,0
24,191,18030,Developer joke mug - fun was unexpected at this time (White),2018,1,1,7,3,39,2,0
25,586,17639,Developer joke mug - there are 10 types of people in the world (Black),2018,1,1,7,1,13,1,0
26,529,10941,RC toy sedan car with remote control (Yellow) 1/50 scale,2018,1,1,7,5,125,2,0
27,529,10941,Developer joke mug - there are 10 types of people in the world (White),2018,1,1,7,8,104,2,0
28,473,16374,10 mm Double sided bubble wrap 10m,2018,1,1,7,10,150,2,0
29,473,16374,Ride on vintage American toy coupe (Red) 1/12 scale,2018,1,1,7,8,2280,2,0
30,870,17521,Superhero action jacket (Blue) M,2018,1,1,7,4,120,3,0
31,870,17521,32 mm Double sided bubble wrap 20m,2018,1,1,7,10,370,3,0
32,870,17521,Furry gorilla with big eyes slippers (Black) L,2018,1,1,7,5,160,3,0
33,991,11911,Superhero action jacket (Blue) XXS,2018,1,1,7,6,150,2,0
34,991,11911,Packing knife with metal insert blade (Yellow) 18mm,2018,1,1,7,10,20,2,0
35,414,10690,Superhero action jacket (Blue) 3XL,2018,1,1,7,2,68,1,0
36,910,10255,Furry gorilla with big eyes slippers (Black) XL,2018,1,1,7,10,320,2,0
37,910,10255,Developer joke mug - a foo walks into a bar (Black),2018,1,1,7,8,104,2,0
38,949,16825,DBA joke mug - it depends (White),2018,1,1,7,7,91,1,0
39,973,12227,USB food flash drive - dessert 10 drive variety pack,2018,1,1,9,8,1920,3,0
40,973,12227,Ride on big wheel monster truck (Black) 1/12 scale,2018,1,1,7,1,345,3,0
41,973,12227,Ride on toy sedan car (Red) 1/12 scale,2018,1,1,7,4,920,3,0
42,884,16793,Superhero action jacket (Blue) M,2018,1,1,7,8,240,1,0
43,173,12467,Halloween zombie mask (Light Brown) L,2018,1,1,7,24,432,3,0
44,173,12467,Dinosaur battery-powered slippers (Green) XL,2018,1,1,7,2,64,3,0
45,173,12467,IT joke mug - that behavior is by design (White),2018,1,1,7,3,39,3,0
46,890,13700,Plush shark slippers (Gray) L,2018,1,1,7,1,32,2,0
47,890,13700,10 mm Double sided bubble wrap 50m,2018,1,1,7,30,3150,2,0
48,189,11503,DBA joke mug - you might be a DBA if (Black),2018,1,1,7,4,52,3,0
49,189,11503,Ride on toy sedan car (Blue) 1/12 scale,2018,1,1,7,5,1150,3,0
50,189,11503,Animal with big feet slippers (Brown) XL,2018,1,1,7,9,288,3,0
51,873,13916,Ride on toy sedan car (Green) 1/12 scale,2018,1,1,7,2,460,2,0
52,873,13916,Packing knife with metal insert blade (Yellow) 18mm,2018,1,1,7,5,10,2,0
53,497,17783,Developer joke mug - fun was unexpected at this time (Black),2018,1,1,7,5,65,2,0
54,497,17783,USB food flash drive - fortune cookie,2018,1,1,7,2,64,2,0
55,484,13042,Developer joke mug - understanding recursion requires understanding recursion (White),2018,1,1,7,1,13,1,0
56,89,10411,Dinosaur battery-powered slippers (Green) XL,2018,1,1,7,9,288,2,0
57,89,10411,Developer joke mug - this code was generated by a tool (White),2018,1,1,7,1,13,2,0
58,148,15084,Halloween skull mask (Gray) M,2018,1,1,7,12,216,3,0
59,148,15084,Developer joke mug - that's a hardware problem (Black),2018,1,1,7,4,52,3,0
60,148,15084,20 mm Anti static bubble wrap (Blue) 50m,2018,1,1,7,40,4080,3,0
61,972,11389,Ogre battery-powered slippers (Green) XL,2018,1,1,7,4,128,2,0
62,972,11389,Alien officer hoodie (Black) 3XL,2018,1,1,7,7,245,2,0
63,567,12559,RC toy sedan car with remote control (Blue) 1/50 scale,2018,1,1,7,4,100,1,0
64,92,19457,Developer joke mug - there are 10 types of people in the world (White),2018,1,1,7,5,65,3,0
65,92,19457,Air cushion film 200mmx100mm 325m,2018,1,1,7,7,609,3,0
66,92,19457,RC toy sedan car with remote control (Green) 1/50 scale,2018,1,1,7,3,75,3,0
67,811,18468,RC big wheel monster truck with remote control (Black) 1/50 scale,2018,1,1,7,8,360,3,0
68,811,18468,RC toy sedan car with remote control (Pink) 1/50 scale,2018,1,1,7,4,100,3,0
69,811,18468,Ogre battery-powered slippers (Green) XL,2018,1,1,7,10,320,3,0
70,10,14486,Permanent marker blue 5mm nib (Blue) 5mm,2018,1,1,7,12,36,1,0
71,862,19057,20 mm Anti static bubble wrap (Blue) 10m,2018,1,1,7,10,290,5,0
72,862,19057,Ogre battery-powered slippers (Green) M,2018,1,1,7,9,288,5,0
73,862,19057,USB rocket launcher (Gray),2018,1,1,7,8,200,5,0
74,862,19057,DBA joke mug - SELECT caffeine FROM mug (Black),2018,1,1,7,1,13,5,0
75,862,19057,USB food flash drive - hamburger,2018,1,1,7,1,32,5,0
76,431,18036,RC toy sedan car with remote control (Blue) 1/50 scale,2018,1,1,7,8,200,1,0
